Name,Template,Reference,Type
vnd.3gpp.mcvideo-ue-config+xml,application/vnd.3gpp.mcvideo-ue-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-user-profile+xml,application/vnd.3gpp.mcvideo-user-profile+xml,[Frederic_Firmin],application
vnd.3gpp.mid-call+xml,application/vnd.3gpp.mid-call+xml,[Frederic_Firmin],application
vnd.3gpp.ngap,application/vnd.3gpp.ngap,[_3GPP][Yang_Yong],application
vnd.3gpp.pfcp,application/vnd.3gpp.pfcp,[_3GPP][Bruno_Landais],application
vnd.3gpp.pic-bw-large,application/vnd.3gpp.pic-bw-large,[John_M_Meredith],application
vnd.3gpp.pic-bw-small,application/vnd.3gpp.pic-bw-small,[John_M_Meredith],application
vnd.3gpp.pic-bw-var,application/vnd.3gpp.pic-bw-var,[John_M_Meredith],application
vnd.3gpp-prose-pc3ch+xml,application/vnd.3gpp-prose-pc3ch+xml,[Frederic_Firmin],application
vnd.3gpp-prose+xml,application/vnd.3gpp-prose+xml,[Frederic_Firmin],application
vnd.3gpp.s1ap,application/vnd.3gpp.s1ap,[_3GPP][Yang_Yong],application
vnd.3gpp.sms,application/vnd.3gpp.sms,[John_M_Meredith],application
vnd.3gpp.sms+xml,application/vnd.3gpp.sms+xml,[Frederic_Firmin],application
vnd.3gpp.srvcc-ext+xml,application/vnd.3gpp.srvcc-ext+xml,[Frederic_Firmin],application
vnd.3gpp.SRVCC-info+xml,application/vnd.3gpp.SRVCC-info+xml,[Frederic_Firmin],application
vnd.3gpp.state-and-event-info+xml,application/vnd.3gpp.state-and-event-info+xml,[Frederic_Firmin],application
vnd.3gpp.ussd+xml,application/vnd.3gpp.ussd+xml,[Frederic_Firmin],application
vnd.3gpp-v2x-local-service-information,application/vnd.3gpp-v2x-local-service-information,[Frederic_Firmin],application
vnd.3gpp2.bcmcsinfo+xml,application/vnd.3gpp2.bcmcsinfo+xml,[Andy_Dryden],application
vnd.3gpp2.sms,application/vnd.3gpp2.sms,[AC_Mahendran],application
vnd.3gpp2.tcap,application/vnd.3gpp2.tcap,[AC_Mahendran],application
vnd.3lightssoftware.imagescal,application/vnd.3lightssoftware.imagescal,[Gus_Asadi],application
vnd.3M.Post-it-Notes,application/vnd.3M.Post-it-Notes,[Michael_OBrien],application
vnd.accpac.simply.aso,application/vnd.accpac.simply.aso,[Steve_Leow],application
vnd.accpac.simply.imp,application/vnd.accpac.simply.imp,[Steve_Leow],application
vnd.acucobol,application/vnd.acucobol,[Dovid_Lubin],application
vnd.acucorp,application/vnd.acucorp,[Dovid_Lubin],application
vnd.adobe.flash.movie,application/vnd.adobe.flash.movie,[Henrik_Andersson],application
vnd.adobe.formscentral.fcdt,application/vnd.adobe.formscentral.fcdt,[Chris_Solc],application
vnd.adobe.fxp,application/vnd.adobe.fxp,[Robert_Brambley][Steven_Heintz],application
vnd.adobe.partial-upload,application/vnd.adobe.partial-upload,[Tapani_Otala],application
vnd.adobe.xdp+xml,application/vnd.adobe.xdp+xml,[John_Brinkman],application
vnd.adobe.xfdf,application/vnd.adobe.xfdf,[Roberto_Perelman],application
vnd.aether.imp,application/vnd.aether.imp,[Jay_Moskowitz],application
vnd.afpc.afplinedata,application/vnd.afpc.afplinedata,[Jörg_Palmer],application
vnd.afpc.afplinedata-pagedef,application/vnd.afpc.afplinedata-pagedef,[Jörg_Palmer],application
vnd.afpc.cmoca-cmresource,application/vnd.afpc.cmoca-cmresource,[Jörg_Palmer],application
vnd.afpc.foca-charset,application/vnd.afpc.foca-charset,[Jörg_Palmer],application
vnd.afpc.foca-codedfont,application/vnd.afpc.foca-codedfont,[Jörg_Palmer],application
vnd.afpc.foca-codepage,application/vnd.afpc.foca-codepage,[Jörg_Palmer],application
vnd.afpc.modca,application/vnd.afpc.modca,[Jörg_Palmer],application
vnd.afpc.modca-cmtable,application/vnd.afpc.modca-cmtable,[Jörg_Palmer],application
vnd.afpc.modca-formdef,application/vnd.afpc.modca-formdef,[Jörg_Palmer],application
vnd.afpc.modca-mediummap,application/vnd.afpc.modca-mediummap,[Jörg_Palmer],application
vnd.afpc.modca-objectcontainer,application/vnd.afpc.modca-objectcontainer,[Jörg_Palmer],application
vnd.afpc.modca-overlay,application/vnd.afpc.modca-overlay,[Jörg_Palmer],application
vnd.afpc.modca-pagesegment,application/vnd.afpc.modca-pagesegment,[Jörg_Palmer],application
vnd.ah-barcode,application/vnd.ah-barcode,[Katsuhiko_Ichinose],application
vnd.ahead.space,application/vnd.ahead.space,[Tor_Kristensen],application
vnd.airzip.filesecure.azf,application/vnd.airzip.filesecure.azf,[Daniel_Mould][Gary_Clueit],application
vnd.airzip.filesecure.azs,application/vnd.airzip.filesecure.azs,[Daniel_Mould][Gary_Clueit],application
vnd.amadeus+json,application/vnd.amadeus+json,[Patrick_Brosse],application
vnd.amazon.mobi8-ebook,application/vnd.amazon.mobi8-ebook,[Kim_Scarborough],application
vnd.americandynamics.acc,application/vnd.americandynamics.acc,[Gary_Sands],application
vnd.amiga.ami,application/vnd.amiga.ami,[Kevin_Blumberg],application
vnd.amundsen.maze+xml,application/vnd.amundsen.maze+xml,[Mike_Amundsen],application
vnd.android.ota,application/vnd.android.ota,[Greg_Kaiser],application
vnd.anki,application/vnd.anki,[Kerrick_Staley],application
vnd.anser-web-certificate-issue-initiation,application/vnd.anser-web-certificate-issue-initiation,[Hiroyoshi_Mori],application
vnd.antix.game-component,application/vnd.antix.game-component,[Daniel_Shelton],application
vnd.apache.thrift.binary,application/vnd.apache.thrift.binary,[Roger_Meier],application
vnd.apache.thrift.compact,application/vnd.apache.thrift.compact,[Roger_Meier],application
vnd.apache.thrift.json,application/vnd.apache.thrift.json,[Roger_Meier],application
vnd.api+json,application/vnd.api+json,[Steve_Klabnik],application
vnd.aplextor.warrp+json,application/vnd.aplextor.warrp+json,[Oleg_Uryutin],application
vnd.apothekende.reservation+json,application/vnd.apothekende.reservation+json,[Adrian_Föder],application
vnd.apple.installer+xml,application/vnd.apple.installer+xml,[Peter_Bierman],application
vnd.apple.keynote,application/vnd.apple.keynote,[Manichandra_Sajjanapu],application
vnd.apple.mpegurl,application/vnd.apple.mpegurl,[RFC8216],application
vnd.apple.numbers,application/vnd.apple.numbers,[Manichandra_Sajjanapu],application
vnd.apple.pages,application/vnd.apple.pages,[Manichandra_Sajjanapu],application
vnd.aristanetworks.swi,application/vnd.aristanetworks.swi,[Bill_Fenner],application
vnd.artisan+json,application/vnd.artisan+json,[Brad_Turner],application
vnd.artsquare,application/vnd.artsquare,[Christopher_Smith],application
vnd.astraea-software.iota,application/vnd.astraea-software.iota,[Christopher_Snazell],application
vnd.audiograph,application/vnd.audiograph,[Horia_Cristian_Slusanschi],application
vnd.autopackage,application/vnd.autopackage,[Mike_Hearn],application
vnd.avalon+json,application/vnd.avalon+json,[Ben_Hinman],application
vnd.avistar+xml,application/vnd.avistar+xml,[Vladimir_Vysotsky],application
vnd.balsamiq.bmml+xml,application/vnd.balsamiq.bmml+xml,[Giacomo_Guilizzoni],application
vnd.banana-accounting,application/vnd.banana-accounting,[José_Del_Romano],application
vnd.bbf.usp.error,application/vnd.bbf.usp.error,[Broadband_Forum],application
vnd.bbf.usp.msg,application/vnd.bbf.usp.msg,[Broadband_Forum],application
vnd.bbf.usp.msg+json,application/vnd.bbf.usp.msg+json,[Broadband_Forum],application
vnd.balsamiq.bmpr,application/vnd.balsamiq.bmpr,[Giacomo_Guilizzoni],application
vnd.bekitzur-stech+json,application/vnd.bekitzur-stech+json,[Jegulsky],application
vnd.bint.med-content,application/vnd.bint.med-content,[Heinz-Peter_Schütz],application
vnd.biopax.rdf+xml,application/vnd.biopax.rdf+xml,[Pathway_Commons],application
vnd.blink-idb-value-wrapper,application/vnd.blink-idb-value-wrapper,[Victor_Costan],application
vnd.blueice.multipass,application/vnd.blueice.multipass,[Thomas_Holmstrom],application
vnd.bluetooth.ep.oob,application/vnd.bluetooth.ep.oob,[Mike_Foley],application
vnd.bluetooth.le.oob,application/vnd.bluetooth.le.oob,[Mark_Powell],application
vnd.bmi,application/vnd.bmi,[Tadashi_Gotoh],application
vnd.bpf,application/vnd.bpf,[NCGIS][Bryan_Blank],application
vnd.bpf3,application/vnd.bpf3,[NCGIS][Bryan_Blank],application
vnd.businessobjects,application/vnd.businessobjects,[Philippe_Imoucha],application
vnd.byu.uapi+json,application/vnd.byu.uapi+json,[Brent_Moore],application
vnd.cab-jscript,application/vnd.cab-jscript,[Joerg_Falkenberg],application
vnd.canon-cpdl,application/vnd.canon-cpdl,[Shin_Muto],application
vnd.canon-lips,application/vnd.canon-lips,[Shin_Muto],application
vnd.capasystems-pg+json,application/vnd.capasystems-pg+json,[Yüksel_Aydemir],application
vnd.cendio.thinlinc.clientconf,application/vnd.cendio.thinlinc.clientconf,[Peter_Astrand],application
vnd.century-systems.tcp_stream,application/vnd.century-systems.tcp_stream,[Shuji_Fujii],application
vnd.chemdraw+xml,application/vnd.chemdraw+xml,[Glenn_Howes],application
vnd.chess-pgn,application/vnd.chess-pgn,[Kim_Scarborough],application
vnd.chipnuts.karaoke-mmd,application/vnd.chipnuts.karaoke-mmd,[Chunyun_Xiong],application
vnd.ciedi,application/vnd.ciedi,[Hidekazu_Enjo],application
vnd.cinderella,application/vnd.cinderella,[Ulrich_Kortenkamp],application
vnd.cirpack.isdn-ext,application/vnd.cirpack.isdn-ext,[Pascal_Mayeux],application
vnd.citationstyles.style+xml,application/vnd.citationstyles.style+xml,[Rintze_M._Zelle],application
vnd.claymore,application/vnd.claymore,[Ray_Simpson],application
vnd.cloanto.rp9,application/vnd.cloanto.rp9,[Mike_Labatt],application
vnd.clonk.c4group,application/vnd.clonk.c4group,[Guenther_Brammer],application
vnd.cluetrust.cartomobile-config,application/vnd.cluetrust.cartomobile-config,[Gaige_Paulsen],application
vnd.cluetrust.cartomobile-config-pkg,application/vnd.cluetrust.cartomobile-config-pkg,[Gaige_Paulsen],application
vnd.coffeescript,application/vnd.coffeescript,[Devyn_Collier_Johnson],application
vnd.collabio.xodocuments.document,application/vnd.collabio.xodocuments.document,[Alexey_Meandrov],application
vnd.collabio.xodocuments.document-template,application/vnd.collabio.xodocuments.document-template,[Alexey_Meandrov],application
vnd.collabio.xodocuments.presentation,application/vnd.collabio.xodocuments.presentation,[Alexey_Meandrov],application
vnd.collabio.xodocuments.presentation-template,application/vnd.collabio.xodocuments.presentation-template,[Alexey_Meandrov],application
vnd.collabio.xodocuments.spreadsheet,application/vnd.collabio.xodocuments.spreadsheet,[Alexey_Meandrov],application
vnd.collabio.xodocuments.spreadsheet-template,application/vnd.collabio.xodocuments.spreadsheet-template,[Alexey_Meandrov],application
vnd.collection.doc+json,application/vnd.collection.doc+json,[Irakli_Nadareishvili],application
vnd.collection+json,application/vnd.collection+json,[Mike_Amundsen],application
vnd.collection.next+json,application/vnd.collection.next+json,[Ioseb_Dzmanashvili],application
vnd.comicbook-rar,application/vnd.comicbook-rar,[Kim_Scarborough],application
vnd.comicbook+zip,application/vnd.comicbook+zip,[Kim_Scarborough],application
vnd.commerce-battelle,application/vnd.commerce-battelle,[David_Applebaum],application
vnd.commonspace,application/vnd.commonspace,[Ravinder_Chandhok],application
vnd.coreos.ignition+json,application/vnd.coreos.ignition+json,[Alex_Crawford],application
vnd.cosmocaller,application/vnd.cosmocaller,[Steve_Dellutri],application
vnd.contact.cmsg,application/vnd.contact.cmsg,[Frank_Patz],application
vnd.crick.clicker,application/vnd.crick.clicker,[Andrew_Burt],application
vnd.crick.clicker.keyboard,application/vnd.crick.clicker.keyboard,[Andrew_Burt],application
vnd.crick.clicker.palette,application/vnd.crick.clicker.palette,[Andrew_Burt],application
vnd.crick.clicker.template,application/vnd.crick.clicker.template,[Andrew_Burt],application
vnd.crick.clicker.wordbank,application/vnd.crick.clicker.wordbank,[Andrew_Burt],application
vnd.criticaltools.wbs+xml,application/vnd.criticaltools.wbs+xml,[Jim_Spiller],application
vnd.cryptii.pipe+json,application/vnd.cryptii.pipe+json,[Fränz_Friederes],application
vnd.crypto-shade-file,application/vnd.crypto-shade-file,[Connor_Horman],application
vnd.cryptomator.encrypted,application/vnd.cryptomator.encrypted,[Sebastian_Stenzel],application
vnd.cryptomator.vault,application/vnd.cryptomator.vault,[Sebastian_Stenzel],application
vnd.ctc-posml,application/vnd.ctc-posml,[Bayard_Kohlhepp],application
vnd.ctct.ws+xml,application/vnd.ctct.ws+xml,[Jim_Ancona],application
vnd.cups-pdf,application/vnd.cups-pdf,[Michael_Sweet],application
vnd.cups-postscript,application/vnd.cups-postscript,[Michael_Sweet],application
vnd.cups-ppd,application/vnd.cups-ppd,[Michael_Sweet],application
vnd.cups-raster,application/vnd.cups-raster,[Michael_Sweet],application
vnd.cups-raw,application/vnd.cups-raw,[Michael_Sweet],application
vnd.curl,application/vnd.curl,[Robert_Byrnes],application
vnd.cyan.dean.root+xml,application/vnd.cyan.dean.root+xml,[Matt_Kern],application
vnd.cybank,application/vnd.cybank,[Nor_Helmee],application
vnd.cyclonedx+json,application/vnd.cyclonedx+json,[Patrick_Dwyer],application
vnd.cyclonedx+xml,application/vnd.cyclonedx+xml,[Patrick_Dwyer],application
vnd.d2l.coursepackage1p0+zip,application/vnd.d2l.coursepackage1p0+zip,[Viktor_Haag],application
vnd.d3m-dataset,application/vnd.d3m-dataset,[Mi_Tar],application
vnd.d3m-problem,application/vnd.d3m-problem,[Mi_Tar],application
vnd.dart,application/vnd.dart,[Anders_Sandholm],application
vnd.data-vision.rdz,application/vnd.data-vision.rdz,[James_Fields],application
vnd.datapackage+json,application/vnd.datapackage+json,[Paul_Walsh],application
vnd.dataresource+json,application/vnd.dataresource+json,[Paul_Walsh],application
vnd.dbf,application/vnd.dbf,[Mi_Tar],application
vnd.debian.binary-package,application/vnd.debian.binary-package,[Charles_Plessy],application
vnd.dece.data,application/vnd.dece.data,[Michael_A_Dolan],application
vnd.dece.ttml+xml,application/vnd.dece.ttml+xml,[Michael_A_Dolan],application
vnd.dece.unspecified,application/vnd.dece.unspecified,[Michael_A_Dolan],application
vnd.dece.zip,application/vnd.dece.zip,[Michael_A_Dolan],application
vnd.denovo.fcselayout-link,application/vnd.denovo.fcselayout-link,[Michael_Dixon],application
vnd.desmume.movie,application/vnd.desmume.movie,[Henrik_Andersson],application
vnd.dir-bi.plate-dl-nosuffix,application/vnd.dir-bi.plate-dl-nosuffix,[Yamanaka],application
vnd.dm.delegation+xml,application/vnd.dm.delegation+xml,[Axel_Ferrazzini],application
vnd.dna,application/vnd.dna,[Meredith_Searcy],application
vnd.document+json,application/vnd.document+json,[Tom_Christie],application
vnd.dolby.mobile.1,application/vnd.dolby.mobile.1,[Steve_Hattersley],application
vnd.dolby.mobile.2,application/vnd.dolby.mobile.2,[Steve_Hattersley],application
vnd.doremir.scorecloud-binary-document,application/vnd.doremir.scorecloud-binary-document,[Erik_Ronström],application
vnd.dpgraph,application/vnd.dpgraph,[David_Parker],application
vnd.dreamfactory,application/vnd.dreamfactory,[William_C._Appleton],application
vnd.drive+json,application/vnd.drive+json,[Keith_Kester],application
vnd.dtg.local,application/vnd.dtg.local,[Ali_Teffahi],application
vnd.dtg.local.flash,application/vnd.dtg.local.flash,[Ali_Teffahi],application
vnd.dtg.local.html,application/vnd.dtg.local.html,[Ali_Teffahi],application
vnd.dvb.ait,application/vnd.dvb.ait,[Peter_Siebert][Michael_Lagally],application
vnd.dvb.dvbisl+xml,application/vnd.dvb.dvbisl+xml,[Emily_DUBS],application
vnd.dvb.dvbj,application/vnd.dvb.dvbj,[Peter_Siebert][Michael_Lagally],application
vnd.dvb.esgcontainer,application/vnd.dvb.esgcontainer,[Joerg_Heuer],application
vnd.dvb.ipdcdftnotifaccess,application/vnd.dvb.ipdcdftnotifaccess,[Roy_Yue],application
vnd.dvb.ipdcesgaccess,application/vnd.dvb.ipdcesgaccess,[Joerg_Heuer],application
vnd.dvb.ipdcesgaccess2,application/vnd.dvb.ipdcesgaccess2,[Jerome_Marcon],application
vnd.dvb.ipdcesgpdd,application/vnd.dvb.ipdcesgpdd,[Jerome_Marcon],application
vnd.dvb.ipdcroaming,application/vnd.dvb.ipdcroaming,[Yiling_Xu],application
vnd.dvb.iptv.alfec-base,application/vnd.dvb.iptv.alfec-base,[Jean-Baptiste_Henry],application
vnd.dvb.iptv.alfec-enhancement,application/vnd.dvb.iptv.alfec-enhancement,[Jean-Baptiste_Henry],application
vnd.dvb.notif-aggregate-root+xml,application/vnd.dvb.notif-aggregate-root+xml,[Roy_Yue],application
vnd.dvb.notif-container+xml,application/vnd.dvb.notif-container+xml,[Roy_Yue],application
vnd.dvb.notif-generic+xml,application/vnd.dvb.notif-generic+xml,[Roy_Yue],application
vnd.dvb.notif-ia-msglist+xml,application/vnd.dvb.notif-ia-msglist+xml,[Roy_Yue],application
vnd.dvb.notif-ia-registration-request+xml,application/vnd.dvb.notif-ia-registration-request+xml,[Roy_Yue],application
vnd.dvb.notif-ia-registration-response+xml,application/vnd.dvb.notif-ia-registration-response+xml,[Roy_Yue],application
vnd.dvb.notif-init+xml,application/vnd.dvb.notif-init+xml,[Roy_Yue],application
vnd.dvb.pfr,application/vnd.dvb.pfr,[Peter_Siebert][Michael_Lagally],application
vnd.dvb.service,application/vnd.dvb.service,[Peter_Siebert][Michael_Lagally],application
vnd.dxr,application/vnd.dxr,[Michael_Duffy],application
vnd.dynageo,application/vnd.dynageo,[Roland_Mechling],application
vnd.dzr,application/vnd.dzr,[Carl_Anderson],application
vnd.easykaraoke.cdgdownload,application/vnd.easykaraoke.cdgdownload,[Iain_Downs],application
vnd.ecip.rlp,application/vnd.ecip.rlp,[Wei_Tang],application
vnd.ecdis-update,application/vnd.ecdis-update,[Gert_Buettgenbach],application
vnd.ecowin.chart,application/vnd.ecowin.chart,[Thomas_Olsson],application
vnd.ecowin.filerequest,application/vnd.ecowin.filerequest,[Thomas_Olsson],application
vnd.ecowin.fileupdate,application/vnd.ecowin.fileupdate,[Thomas_Olsson],application
vnd.ecowin.series,application/vnd.ecowin.series,[Thomas_Olsson],application
vnd.ecowin.seriesrequest,application/vnd.ecowin.seriesrequest,[Thomas_Olsson],application
vnd.ecowin.seriesupdate,application/vnd.ecowin.seriesupdate,[Thomas_Olsson],application
vnd.efi.img,application/vnd.efi.img,[UEFI_Forum][Fu_Siyuan],application
vnd.efi.iso,application/vnd.efi.iso,[UEFI_Forum][Fu_Siyuan],application
vnd.emclient.accessrequest+xml,application/vnd.emclient.accessrequest+xml,[Filip_Navara],application
vnd.enliven,application/vnd.enliven,[Paul_Santinelli_Jr.],application
vnd.enphase.envoy,application/vnd.enphase.envoy,[Chris_Eich],application
vnd.eprints.data+xml,application/vnd.eprints.data+xml,[Tim_Brody],application
vnd.epson.esf,application/vnd.epson.esf,[Shoji_Hoshina],application
vnd.epson.msf,application/vnd.epson.msf,[Shoji_Hoshina],application
vnd.epson.quickanime,application/vnd.epson.quickanime,[Yu_Gu],application
vnd.epson.salt,application/vnd.epson.salt,[Yasuhito_Nagatomo],application
vnd.epson.ssf,application/vnd.epson.ssf,[Shoji_Hoshina],application
vnd.ericsson.quickcall,application/vnd.ericsson.quickcall,[Paul_Tidwell],application
vnd.espass-espass+zip,application/vnd.espass-espass+zip,[Marcus_Ligi_Büschleb],application
vnd.eszigno3+xml,application/vnd.eszigno3+xml,[Szilveszter_Tóth],application
vnd.etsi.aoc+xml,application/vnd.etsi.aoc+xml,[Shicheng_Hu],application
vnd.etsi.asic-s+zip,application/vnd.etsi.asic-s+zip,[Miguel_Angel_Reina_Ortega],application
vnd.etsi.asic-e+zip,application/vnd.etsi.asic-e+zip,[Miguel_Angel_Reina_Ortega],application
vnd.etsi.cug+xml,application/vnd.etsi.cug+xml,[Shicheng_Hu],application
vnd.etsi.iptvcommand+xml,application/vnd.etsi.iptvcommand+xml,[Shicheng_Hu],application
vnd.etsi.iptvdiscovery+xml,application/vnd.etsi.iptvdiscovery+xml,[Shicheng_Hu],application
vnd.etsi.iptvprofile+xml,application/vnd.etsi.iptvprofile+xml,[Shicheng_Hu],application
vnd.etsi.iptvsad-bc+xml,application/vnd.etsi.iptvsad-bc+xml,[Shicheng_Hu],application
vnd.etsi.iptvsad-cod+xml,application/vnd.etsi.iptvsad-cod+xml,[Shicheng_Hu],application
vnd.etsi.iptvsad-npvr+xml,application/vnd.etsi.iptvsad-npvr+xml,[Shicheng_Hu],application
vnd.etsi.iptvservice+xml,application/vnd.etsi.iptvservice+xml,[Miguel_Angel_Reina_Ortega],application
vnd.etsi.iptvsync+xml,application/vnd.etsi.iptvsync+xml,[Miguel_Angel_Reina_Ortega],application
vnd.etsi.iptvueprofile+xml,application/vnd.etsi.iptvueprofile+xml,[Shicheng_Hu],application
vnd.etsi.mcid+xml,application/vnd.etsi.mcid+xml,[Shicheng_Hu],application
vnd.etsi.mheg5,application/vnd.etsi.mheg5,[Miguel_Angel_Reina_Ortega][Ian_Medland],application
vnd.etsi.overload-control-policy-dataset+xml,application/vnd.etsi.overload-control-policy-dataset+xml,[Miguel_Angel_Reina_Ortega],application
vnd.etsi.pstn+xml,application/vnd.etsi.pstn+xml,[Jiwan_Han][Thomas_Belling],application
vnd.etsi.sci+xml,application/vnd.etsi.sci+xml,[Shicheng_Hu],application
vnd.etsi.simservs+xml,application/vnd.etsi.simservs+xml,[Shicheng_Hu],application
vnd.etsi.timestamp-token,application/vnd.etsi.timestamp-token,[Miguel_Angel_Reina_Ortega],application
vnd.etsi.tsl+xml,application/vnd.etsi.tsl+xml,[Shicheng_Hu],application
vnd.etsi.tsl.der,application/vnd.etsi.tsl.der,[Shicheng_Hu],application
vnd.evolv.ecig.profile,application/vnd.evolv.ecig.profile,[James_Bellinger],application
vnd.evolv.ecig.settings,application/vnd.evolv.ecig.settings,[James_Bellinger],application
vnd.evolv.ecig.theme,application/vnd.evolv.ecig.theme,[James_Bellinger],application
vnd.eudora.data,application/vnd.eudora.data,[Pete_Resnick],application
vnd.exstream-empower+zip,application/vnd.exstream-empower+zip,[Bill_Kidwell],application
vnd.exstream-package,application/vnd.exstream-package,[Bill_Kidwell],application
vnd.ezpix-album,application/vnd.ezpix-album,[ElectronicZombieCorp],application
vnd.ezpix-package,application/vnd.ezpix-package,[ElectronicZombieCorp],application
vnd.f-secure.mobile,application/vnd.f-secure.mobile,[Samu_Sarivaara],application
vnd.fastcopy-disk-image,application/vnd.fastcopy-disk-image,[Thomas_Huth],application
vnd.fdf,application/vnd.fdf,[Steve_Zilles],application
vnd.fdsn.mseed,application/vnd.fdsn.mseed,[Chad_Trabant],application
vnd.fdsn.seed,application/vnd.fdsn.seed,[Chad_Trabant],application
vnd.ffsns,application/vnd.ffsns,[Holstage],application
vnd.ficlab.flb+zip,application/vnd.ficlab.flb+zip,[Steve_Gilberd],application
vnd.filmit.zfc,application/vnd.filmit.zfc,[Harms_Moeller],application
vnd.fints,application/vnd.fints,[Ingo_Hammann],application
vnd.firemonkeys.cloudcell,application/vnd.firemonkeys.cloudcell,[Alex_Dubov],application
vnd.FloGraphIt,application/vnd.FloGraphIt,[Dick_Floersch],application
vnd.fluxtime.clip,application/vnd.fluxtime.clip,[Marc_Winter],application
vnd.font-fontforge-sfd,application/vnd.font-fontforge-sfd,[George_Williams],application
vnd.framemaker,application/vnd.framemaker,[Mike_Wexler],application
vnd.fsc.weblaunch,application/vnd.fsc.weblaunch,[Derek_Smith],application
vnd.fujifilm.fb.docuworks,application/vnd.fujifilm.fb.docuworks,[Kazuya_Iimura],application
vnd.fujifilm.fb.docuworks.binder,application/vnd.fujifilm.fb.docuworks.binder,[Kazuya_Iimura],application
vnd.fujifilm.fb.docuworks.container,application/vnd.fujifilm.fb.docuworks.container,[Kazuya_Iimura],application
vnd.fujifilm.fb.jfi+xml,application/vnd.fujifilm.fb.jfi+xml,[Keitaro_Ishida],application
vnd.fujitsu.oasys,application/vnd.fujitsu.oasys,[Nobukazu_Togashi],application
vnd.fujitsu.oasys2,application/vnd.fujitsu.oasys2,[Nobukazu_Togashi],application
vnd.fujitsu.oasys3,application/vnd.fujitsu.oasys3,[Seiji_Okudaira],application
vnd.fujitsu.oasysgp,application/vnd.fujitsu.oasysgp,[Masahiko_Sugimoto],application
vnd.fujitsu.oasysprs,application/vnd.fujitsu.oasysprs,[Masumi_Ogita],application
vnd.fujixerox.ART4,application/vnd.fujixerox.ART4,[Fumio_Tanabe],application
vnd.fujixerox.ART-EX,application/vnd.fujixerox.ART-EX,[Fumio_Tanabe],application
vnd.fujixerox.ddd,application/vnd.fujixerox.ddd,[Masanori_Onda],application
vnd.fujixerox.docuworks,application/vnd.fujixerox.docuworks,[Takatomo_Wakibayashi],application
vnd.fujixerox.docuworks.binder,application/vnd.fujixerox.docuworks.binder,[Takashi_Matsumoto],application
vnd.fujixerox.docuworks.container,application/vnd.fujixerox.docuworks.container,[Kiyoshi_Tashiro],application
vnd.fujixerox.HBPL,application/vnd.fujixerox.HBPL,[Fumio_Tanabe],application
vnd.fut-misnet,application/vnd.fut-misnet,[Jann_Pruulman],application
vnd.futoin+cbor,application/vnd.futoin+cbor,[Andrey_Galkin],application
vnd.futoin+json,application/vnd.futoin+json,[Andrey_Galkin],application
vnd.fuzzysheet,application/vnd.fuzzysheet,[Simon_Birtwistle],application
vnd.genomatix.tuxedo,application/vnd.genomatix.tuxedo,[Torben_Frey],application
vnd.gentics.grd+json,application/vnd.gentics.grd+json,[Philipp_Gortan],application
vnd.geogebra.file,application/vnd.geogebra.file,[GeoGebra][Yves_Kreis],application
vnd.geogebra.slides,application/vnd.geogebra.slides,[GeoGebra][Michael_Borcherds][Markus_Hohenwarter],application
vnd.geogebra.tool,application/vnd.geogebra.tool,[GeoGebra][Yves_Kreis],application
vnd.geometry-explorer,application/vnd.geometry-explorer,[Michael_Hvidsten],application
vnd.geonext,application/vnd.geonext,[Matthias_Ehmann],application
vnd.geoplan,application/vnd.geoplan,[Christian_Mercat],application
vnd.geospace,application/vnd.geospace,[Christian_Mercat],application
vnd.gerber,application/vnd.gerber,[Thomas_Weyn],application
vnd.globalplatform.card-content-mgt,application/vnd.globalplatform.card-content-mgt,[Gil_Bernabeu],application
vnd.globalplatform.card-content-mgt-response,application/vnd.globalplatform.card-content-mgt-response,[Gil_Bernabeu],application
vnd.google-earth.kml+xml,application/vnd.google-earth.kml+xml,[Michael_Ashbridge],application
vnd.google-earth.kmz,application/vnd.google-earth.kmz,[Michael_Ashbridge],application
vnd.gov.sk.e-form+xml,application/vnd.gov.sk.e-form+xml,[Peter_Biro][Stefan_Szilva],application
vnd.gov.sk.e-form+zip,application/vnd.gov.sk.e-form+zip,[Peter_Biro][Stefan_Szilva],application
vnd.gov.sk.xmldatacontainer+xml,application/vnd.gov.sk.xmldatacontainer+xml,[Peter_Biro][Stefan_Szilva],application
vnd.grafeq,application/vnd.grafeq,[Jeff_Tupper],application
vnd.gridmp,application/vnd.gridmp,[Jeff_Lawson],application
vnd.groove-account,application/vnd.groove-account,[Todd_Joseph],application
vnd.groove-help,application/vnd.groove-help,[Todd_Joseph],application
vnd.groove-identity-message,application/vnd.groove-identity-message,[Todd_Joseph],application
vnd.groove-injector,application/vnd.groove-injector,[Todd_Joseph],application
vnd.groove-tool-message,application/vnd.groove-tool-message,[Todd_Joseph],application
vnd.groove-tool-template,application/vnd.groove-tool-template,[Todd_Joseph],application
vnd.groove-vcard,application/vnd.groove-vcard,[Todd_Joseph],application
vnd.hal+json,application/vnd.hal+json,[Mike_Kelly],application
vnd.hal+xml,application/vnd.hal+xml,[Mike_Kelly],application
vnd.HandHeld-Entertainment+xml,application/vnd.HandHeld-Entertainment+xml,[Eric_Hamilton],application
vnd.hbci,application/vnd.hbci,[Ingo_Hammann],application
