Name,Template,Reference,Type
EmergencyCallData.Comment+xml,application/EmergencyCallData.Comment+xml,[RFC7852],application
EmergencyCallData.Control+xml,application/EmergencyCallData.Control+xml,[RFC8147],application
EmergencyCallData.DeviceInfo+xml,application/EmergencyCallData.DeviceInfo+xml,[RFC7852],application
EmergencyCallData.eCall.MSD,application/EmergencyCallData.eCall.MSD,[RFC8147],application
EmergencyCallData.ProviderInfo+xml,application/EmergencyCallData.ProviderInfo+xml,[RFC7852],application
EmergencyCallData.ServiceInfo+xml,application/EmergencyCallData.ServiceInfo+xml,[RFC7852],application
EmergencyCallData.SubscriberInfo+xml,application/EmergencyCallData.SubscriberInfo+xml,[RFC7852],application
EmergencyCallData.VEDS+xml,application/EmergencyCallData.VEDS+xml,[RFC8148],application
emma+xml,application/emma+xml,[W3C][http://www.w3.org/TR/2007/CR-emma-20071211/#media-type-registration][ISO-IEC_JTC1],application
emotionml+xml,application/emotionml+xml,[W3C][Kazuyuki_Ashimura],application
encaprtp,application/encaprtp,[RFC6849],application
epp+xml,application/epp+xml,[RFC5730],application
epub+zip,application/epub+zip,[International_Digital_Publishing_Forum][William_McCoy],application
eshop,application/eshop,[Steve_Katz],application
example,application/example,[RFC4735],application
exi,application/exi,[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration],application
expect-ct-report+json,application/expect-ct-report+json,[RFC-ietf-httpbis-expect-ct-08],application
fastinfoset,application/fastinfoset,[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC1_SC6_ASN.1_Rapporteur],application
fastsoap,application/fastsoap,[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC1_SC6_ASN.1_Rapporteur],application
fdt+xml,application/fdt+xml,[RFC6726],application
fhir+json,application/fhir+json,[HL7][Grahame_Grieve],application
fhir+xml,application/fhir+xml,[HL7][Grahame_Grieve],application
fits,application/fits,[RFC4047],application
flexfec,application/flexfec,[RFC8627],application
font-tdpfr,application/font-tdpfr,[RFC3073],application
framework-attributes+xml,application/framework-attributes+xml,[RFC6230],application
geo+json,application/geo+json,[RFC7946],application
geo+json-seq,application/geo+json-seq,[RFC8142],application
geopackage+sqlite3,application/geopackage+sqlite3,[OGC][Scott_Simmons],application
geoxacml+xml,application/geoxacml+xml,[OGC][Scott_Simmons],application
gltf-buffer,application/gltf-buffer,[Khronos][Saurabh_Bhatia],application
gml+xml,application/gml+xml,[OGC][Clemens_Portele],application
gzip,application/gzip,[RFC6713],application
H224,application/H224,[RFC4573],application
held+xml,application/held+xml,[RFC5985],application
http,application/http,[RFC7230],application
hyperstudio,application/hyperstudio,[Michael_Domino],application
ibe-key-request+xml,application/ibe-key-request+xml,[RFC5408],application
ibe-pkg-reply+xml,application/ibe-pkg-reply+xml,[RFC5408],application
ibe-pp-data,application/ibe-pp-data,[RFC5408],application
iges,application/iges,[Curtis_Parks],application
im-iscomposing+xml,application/im-iscomposing+xml,[RFC3994],application
index,application/index,[RFC2652],application
index.cmd,application/index.cmd,[RFC2652],application
index.obj,application/index.obj,[RFC2652],application
index.response,application/index.response,[RFC2652],application
index.vnd,application/index.vnd,[RFC2652],application
inkml+xml,application/inkml+xml,[Kazuyuki_Ashimura],application
IOTP,application/IOTP,[RFC2935],application
ipfix,application/ipfix,[RFC5655],application
ipp,application/ipp,[RFC8010],application
ISUP,application/ISUP,[RFC3204],application
its+xml,application/its+xml,[W3C][ITS-IG-W3C],application
javascript,application/javascript,[RFC4329],application
jf2feed+json,application/jf2feed+json,[W3C][Ivan_Herman],application
jose,application/jose,[RFC7515],application
jose+json,application/jose+json,[RFC7515],application
jrd+json,application/jrd+json,[RFC7033],application
jscalendar+json,application/jscalendar+json,[RFC-ietf-calext-jscalendar-32],application
json,application/json,[RFC8259],application
json-patch+json,application/json-patch+json,[RFC6902],application
json-seq,application/json-seq,[RFC7464],application
jwk+json,application/jwk+json,[RFC7517],application
jwk-set+json,application/jwk-set+json,[RFC7517],application
jwt,application/jwt,[RFC7519],application
kpml-request+xml,application/kpml-request+xml,[RFC4730],application
kpml-response+xml,application/kpml-response+xml,[RFC4730],application
ld+json,application/ld+json,[W3C][Ivan_Herman],application
lgr+xml,application/lgr+xml,[RFC7940],application
link-format,application/link-format,[RFC6690],application
load-control+xml,application/load-control+xml,[RFC7200],application
lost+xml,application/lost+xml,[RFC5222],application
lostsync+xml,application/lostsync+xml,[RFC6739],application
lpf+zip,application/lpf+zip,[W3C][Ivan_Herman],application
LXF,application/LXF,[ASAM][Thomas_Thomsen],application
mac-binhex40,application/mac-binhex40,[Patrik_Faltstrom],application
macwriteii,application/macwriteii,[Paul_Lindner],application
mads+xml,application/mads+xml,[RFC6207],application
marc,application/marc,[RFC2220],application
marcxml+xml,application/marcxml+xml,[RFC6207],application
mathematica,application/mathematica,[Wolfram],application
mathml+xml,application/mathml+xml,[W3C][http://www.w3.org/TR/MathML3/appendixb.html],application
mathml-content+xml,application/mathml-content+xml,[W3C][http://www.w3.org/TR/MathML3/appendixb.html],application
mathml-presentation+xml,application/mathml-presentation+xml,[W3C][http://www.w3.org/TR/MathML3/appendixb.html],application
mbms-associated-procedure-description+xml,application/mbms-associated-procedure-description+xml,[_3GPP],application
mbms-deregister+xml,application/mbms-deregister+xml,[_3GPP],application
mbms-envelope+xml,application/mbms-envelope+xml,[_3GPP],application
mbms-msk-response+xml,application/mbms-msk-response+xml,[_3GPP],application
mbms-msk+xml,application/mbms-msk+xml,[_3GPP],application
mbms-protection-description+xml,application/mbms-protection-description+xml,[_3GPP],application
mbms-reception-report+xml,application/mbms-reception-report+xml,[_3GPP],application
mbms-register-response+xml,application/mbms-register-response+xml,[_3GPP],application
mbms-register+xml,application/mbms-register+xml,[_3GPP],application
mbms-schedule+xml,application/mbms-schedule+xml,[_3GPP][Eric_Turcotte],application
mbms-user-service-description+xml,application/mbms-user-service-description+xml,[_3GPP],application
mbox,application/mbox,[RFC4155],application
media_control+xml,application/media_control+xml,[RFC5168],application
media-policy-dataset+xml,application/media-policy-dataset+xml,[RFC6796],application
mediaservercontrol+xml,application/mediaservercontrol+xml,[RFC5022],application
merge-patch+json,application/merge-patch+json,[RFC7396],application
metalink4+xml,application/metalink4+xml,[RFC5854],application
mets+xml,application/mets+xml,[RFC6207],application
MF4,application/MF4,[ASAM][Thomas_Thomsen],application
mikey,application/mikey,[RFC3830],application
mipc,application/mipc,[NCGIS][Bryan_Blank],application
missing-blocks+cbor-seq,application/missing-blocks+cbor-seq,[RFC-ietf-core-new-block-14],application
mmt-aei+xml,application/mmt-aei+xml,[ATSC],application
mmt-usd+xml,application/mmt-usd+xml,[ATSC],application
